Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Tiempo Jugado,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Rendimiento,Expectativa,Expectativa,Expectativa,Expectativa,Progresión,Progresión,Progresión,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Por 90 Minutos,Unnamed: 37_level_0
554,Sergio Córdova,ve VEN,"DL,CC",Arminia,de Bundesliga,22,1997,23,13,1090,12.1,2,1,3,2,0,0,0,0,3.5,3.5,0.9,4.4,17,21,77,0.17,0.08,0.25,0.17,0.25,0.29,0.08,0.36,0.29,0.36,Partidos
555,Jack Cork,eng ENG,CC,Burnley,eng Premier League,31,1989,16,15,1350,15.0,0,0,0,0,0,0,2,0,0.2,0.2,0.6,0.8,8,37,13,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.05,0.02,0.05,Partidos
556,Andreas Cornelius,dk DEN,DL,Parma,it Serie A,27,1993,29,21,1898,21.1,1,4,5,1,0,0,4,0,2.9,2.9,3.5,6.4,12,45,135,0.05,0.19,0.24,0.05,0.24,0.14,0.17,0.30,0.14,0.30,Partidos
557,Maxwel Cornet,ci CIV,"DF,DL",Lyon,fr Ligue 1,23,1996,36,29,2446,27.2,2,5,7,2,0,0,5,0,2.1,2.1,3.5,5.6,73,128,196,0.07,0.18,0.26,0.07,0.26,0.08,0.13,0.21,0.08,0.21,Partidos
558,Ángel Correa,ar ARG,"DL,CC",Atlético Madrid,es La Liga,25,1995,38,29,2393,26.6,9,8,17,9,0,0,3,0,7.8,7.7,5.7,13.4,64,84,186,0.34,0.30,0.64,0.34,0.64,0.29,0.21,0.51,0.29,0.51,Partidos
559,Joaquín Correa,ar ARG,DL,Lazio,it Serie A,25,1994,28,25,1933,21.5,8,3,11,7,1,1,3,1,6.9,6.3,2.2,8.5,66,69,187,0.37,0.14,0.51,0.33,0.47,0.32,0.10,0.42,0.30,0.40,Partidos
560,Rober Correa,es ESP,DF,Eibar,es La Liga,27,1992,15,13,1136,12.6,0,2,2,0,0,0,3,0,0.3,0.3,1.9,2.1,15,41,26,0.00,0.16,0.16,0.00,0.16,0.02,0.15,0.17,0.02,0.17,Partidos
561,Félix Correia,pt POR,CC,Juventus,it Serie A,19,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
562,Thierry Correia,pt POR,DF,Valencia,es La Liga,21,1999,29,25,2137,23.7,1,1,2,1,0,0,6,1,0.5,0.5,1.2,1.7,48,46,94,0.04,0.04,0.08,0.04,0.08,0.02,0.05,0.07,0.02,0.07,Partidos
563,Danny da Costa,de GER,"DF,DL",Mainz 05,de Bundesliga,27,1993,16,15,1208,13.4,0,1,1,0,0,0,2,0,0.1,0.1,2.3,2.5,23,48,41,0.00,0.07,0.07,0.00,0.07,0.01,0.17,0.18,0.01,0.18,Partidos
564,Danny da Costa,de GER,DF,Eint Frankfurt,de Bundesliga,27,1993,6,1,110,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,4,5,7,0.00,0.00,0.00,0.00,0.00,0.13,0.00,0.13,0.13,0.13,Partidos
565,David Pereira da Costa,pt POR,"CC,DL",Lens,fr Ligue 1,19,2001,8,1,158,1.8,1,1,2,1,0,0,0,0,0.4,0.4,0.1,0.6,4,4,6,0.57,0.57,1.14,0.57,1.14,0.27,0.06,0.33,0.27,0.33,Partidos
566,Diego Costa,es ESP,DL,Atlético Madrid,es La Liga,31,1988,7,2,208,2.3,2,0,2,1,1,1,1,0,1.4,0.6,0.5,1.1,3,6,21,0.87,0.00,0.87,0.43,0.43,0.60,0.21,0.82,0.26,0.48,Partidos
567,Douglas Costa,br BRA,"CC,DL",Juventus,it Serie A,29,1990,2,0,42,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,1,6,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13,Partidos
568,Douglas Costa,br BRA,"DL,CC",Bayern Munich,de Bundesliga,29,1990,11,3,320,3.6,1,1,2,1,0,0,0,0,0.2,0.2,0.8,0.9,15,17,40,0.28,0.28,0.56,0.28,0.56,0.04,0.21,0.26,0.04,0.26,Partidos
569,Hélder Costa,ao ANG,"CC,DL",Leeds United,eng Premier League,26,1994,22,13,1156,12.8,3,3,6,3,0,0,0,0,2.2,2.2,0.6,2.8,47,28,84,0.23,0.23,0.47,0.23,0.47,0.17,0.04,0.22,0.17,0.22,Partidos
570,Jaume Costa,es ESP,"DF,CC",Villarreal,es La Liga,32,1988,14,3,351,3.9,0,1,1,0,0,0,1,0,0.1,0.1,0.2,0.3,9,13,20,0.00,0.26,0.26,0.00,0.26,0.02,0.06,0.08,0.02,0.08,Partidos
571,Angelo da Costa Júnior,br BRA,PO,Bologna,it Serie A,36,1983,6,6,540,6.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
572,Charles Costes,fr FRA,CC,Dijon,fr Ligue 1,17,2002,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
573,Benoît Costil,fr FRA,PO,Bordeaux,fr Ligue 1,33,1987,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
574,Vladimír Coufal,cz CZE,DF,West Ham,eng Premier League,27,1992,34,34,3054,33.9,0,7,7,0,0,0,3,0,1.3,1.3,5.5,6.7,70,128,159,0.00,0.21,0.21,0.00,0.21,0.04,0.16,0.20,0.04,0.20,Partidos
575,Kalifa Coulibaly,ml MLI,DL,Nantes,fr Ligue 1,28,1991,17,11,981,10.9,3,1,4,2,1,1,2,0,2.6,1.8,1.1,2.9,6,20,70,0.28,0.09,0.37,0.18,0.28,0.24,0.10,0.34,0.17,0.27,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
576,Lassana Coulibaly,ml MLI,CC,Angers,fr Ligue 1,24,1996,29,18,1687,18.7,1,1,2,1,0,0,4,1,1.2,1.2,0.6,1.7,20,65,21,0.05,0.05,0.11,0.05,0.11,0.06,0.03,0.09,0.06,0.09,Partidos
577,Mamadou Coulibaly,sn SEN,CC,Udinese,it Serie A,21,1999,3,2,184,2.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,1,12,22,0.00,0.00,0.00,0.00,0.00,0.04,0.06,0.10,0.04,0.10,Partidos
578,Senou Coulibaly,ml MLI,DF,Dijon,fr Ligue 1,25,1994,22,22,1934,21.5,2,0,2,2,0,0,6,1,0.8,0.8,0.2,1.0,8,47,1,0.09,0.00,0.09,0.09,0.09,0.04,0.01,0.05,0.04,0.05,Partidos
579,Tanguy Coulibaly,fr FRA,"DF,DL",Stuttgart,de Bundesliga,19,2001,31,17,1506,16.7,2,1,3,2,0,0,2,0,2.8,2.8,2.6,5.4,46,29,149,0.12,0.06,0.18,0.12,0.18,0.16,0.16,0.32,0.16,0.32,Partidos
580,Thibaut Courtois,be BEL,PO,Real Madrid,es La Liga,28,1992,38,38,3420,38.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
581,Philippe Coutinho,br BRA,"CC,DL",Barcelona,es La Liga,28,1992,12,8,654,7.3,2,2,4,2,0,0,0,0,4.0,4.0,0.7,4.7,38,58,61,0.28,0.28,0.55,0.28,0.55,0.55,0.10,0.65,0.55,0.65,Partidos
582,Nicolas Cozza,fr FRA,DF,Montpellier,fr Ligue 1,21,1999,20,15,1369,15.2,0,0,0,0,0,0,2,0,0.3,0.3,0.4,0.7,25,42,27,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Partidos
583,Alessio Cragno,it ITA,PO,Cagliari,it Serie A,26,1994,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
584,Gian Crespi,it ITA,PO,Crotone,it Serie A,19,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
585,Aaron Cresswell,eng ENG,DF,West Ham,eng Premier League,30,1989,36,36,3170,35.2,0,8,8,0,0,0,3,0,1.0,1.0,6.5,7.5,35,162,96,0.00,0.23,0.23,0.00,0.23,0.03,0.18,0.21,0.03,0.21,Partidos
586,Domenico Criscito,it ITA,DF,Genoa,it Serie A,33,1986,23,20,1726,19.2,1,0,1,0,1,1,6,0,0.9,0.1,0.4,0.6,39,83,18,0.05,0.00,0.05,0.00,0.00,0.05,0.02,0.07,0.01,0.03,Partidos
587,Bryan Cristante,it ITA,"DF,CC",Roma,it Serie A,25,1995,34,22,2155,23.9,1,3,4,1,0,0,8,0,2.4,2.4,1.3,3.6,24,142,33,0.04,0.13,0.17,0.04,0.17,0.10,0.06,0.16,0.10,0.16,Partidos
588,Giovanni Crociata,it ITA,DF,Crotone,it Serie A,22,1997,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,4,2,0.00,0.00,0.00,0.00,0.00,0.00,0.46,0.46,0.00,0.46,Partidos
589,Juan Cruz Armada,es ESP,DF,Osasuna,es La Liga,28,1992,26,23,1962,21.8,0,0,0,0,0,0,4,0,0.1,0.1,0.5,0.5,19,58,41,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Partidos
590,Juan Cuadrado,co COL,"DF,CC",Juventus,it Serie A,32,1988,30,26,2175,24.2,2,10,12,1,1,1,9,1,2.3,1.5,8.2,9.7,93,132,217,0.08,0.41,0.50,0.04,0.46,0.10,0.34,0.43,0.06,0.40,Partidos
591,Andrés Cubas,py PAR,CC,Nîmes,fr Ligue 1,24,1996,27,27,2242,24.9,1,0,1,1,0,0,6,1,0.4,0.4,0.6,1.0,6,76,10,0.04,0.00,0.04,0.04,0.04,0.02,0.02,0.04,0.02,0.04,Partidos
592,Sergio Cubero Ezcurra,es ESP,CC,Eibar,es La Liga,20,1999,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
593,Cucho,co COL,"DL,CC",Getafe,es La Liga,21,1999,23,18,1466,16.3,2,3,5,2,0,0,5,0,2.7,2.7,1.3,4.0,51,40,98,0.12,0.18,0.31,0.12,0.31,0.17,0.08,0.25,0.17,0.25,Partidos
594,Marc Cucurella,es ESP,CC,Getafe,es La Liga,22,1998,37,37,3244,36.0,3,2,5,3,0,0,8,0,1.9,1.8,3.6,5.4,77,103,219,0.08,0.06,0.14,0.08,0.14,0.05,0.10,0.15,0.05,0.15,Partidos
595,Mickaël Cuisance,fr FRA,CC,Marseille,fr Ligue 1,20,1999,23,11,1024,11.4,2,1,3,2,0,0,3,0,0.8,0.8,0.5,1.3,19,45,53,0.18,0.09,0.26,0.18,0.26,0.07,0.05,0.12,0.07,0.12,Partidos
596,Mickaël Cuisance,fr FRA,DL,Bayern Munich,de Bundesliga,20,1999,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
597,Matheus Cunha,br BRA,"DL,CC",Hertha BSC,de Bundesliga,21,1999,27,25,2149,23.9,7,4,11,5,2,3,9,0,8.4,6.1,4.5,10.6,91,85,137,0.29,0.17,0.46,0.21,0.38,0.35,0.19,0.54,0.25,0.44,Partidos
598,Giuseppe Cuomo,it ITA,DF,Crotone,it Serie A,22,1998,13,8,801,8.9,0,0,0,0,0,0,4,0,0.2,0.2,0.0,0.2,6,44,5,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Partidos
599,Patrick Cutrone,it ITA,DL,Wolves,eng Premier League,22,1998,2,0,25,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,3,0.00,0.00,0.00,0.00,0.00,0.30,0.00,0.30,0.30,0.30,Partidos
600,Patrick Cutrone,it ITA,DL,Fiorentina,it Serie A,22,1998,11,0,196,2.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,22,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
601,Patrick Cutrone,it ITA,DL,Valencia,es La Liga,22,1998,7,0,108,1.2,0,0,0,0,0,0,0,0,0.4,0.4,0.3,0.7,1,3,6,0.00,0.00,0.00,0.00,0.00,0.36,0.24,0.61,0.36,0.61,Partidos
602,Wylan Cyprien,fr FRA,CC,Parma,it Serie A,25,1995,13,2,410,4.6,0,0,0,0,0,0,2,0,0.3,0.3,0.2,0.5,4,20,2,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.10,0.06,0.10,Partidos
603,Rafael Czichos,de GER,DF,Köln,de Bundesliga,30,1990,28,26,2259,25.1,1,0,1,1,0,0,7,0,1.8,1.8,0.1,1.9,21,103,6,0.04,0.00,0.04,0.04,0.04,0.07,0.01,0.08,0.07,0.08,Partidos
604,Lennart-Marten Czyborra,de GER,DF,Genoa,it Serie A,21,1999,17,15,1173,13.0,1,0,1,1,0,0,2,0,0.2,0.2,0.3,0.5,14,26,34,0.08,0.00,0.08,0.08,0.08,0.02,0.02,0.04,0.02,0.04,Partidos
605,Danilo D'Ambrosio,it ITA,DF,Inter,it Serie A,31,1988,19,7,699,7.8,3,0,3,3,0,0,2,0,1.3,1.3,0.2,1.5,5,35,20,0.39,0.00,0.39,0.39,0.39,0.16,0.03,0.19,0.16,0.19,Partidos
606,Damien Da Silva,fr FRA,DF,Rennes,fr Ligue 1,32,1988,30,30,2661,29.6,4,0,4,4,0,0,7,1,2.1,2.1,0.3,2.3,28,145,4,0.14,0.00,0.14,0.14,0.14,0.07,0.01,0.08,0.07,0.08,Partidos
607,Moanes Dabbur,il ISR,"DL,CC",Hoffenheim,de Bundesliga,28,1992,22,11,999,11.1,4,0,4,4,0,1,2,0,5.3,4.5,0.6,5.1,20,35,80,0.36,0.00,0.36,0.36,0.36,0.48,0.05,0.53,0.41,0.46,Partidos
608,Bryan Dabo,bf BFA,CC,Benevento,it Serie A,28,1992,25,12,1117,12.4,0,0,0,0,0,0,5,0,0.7,0.7,0.3,1.1,25,60,44,0.00,0.00,0.00,0.00,0.00,0.06,0.03,0.09,0.06,0.09,Partidos
609,Colin Dagba,fr FRA,DF,Paris S-G,fr Ligue 1,21,1998,25,15,1357,15.1,1,2,3,1,0,0,3,0,0.7,0.7,1.0,1.7,38,44,110,0.07,0.13,0.20,0.07,0.20,0.05,0.07,0.11,0.05,0.11,Partidos
610,Finn Dahmen,de GER,PO,Mainz 05,de Bundesliga,22,1998,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
611,Mahmoud Dahoud,de GER,CC,Dortmund,de Bundesliga,24,1996,21,15,1258,14.0,1,1,2,1,0,0,2,0,0.6,0.6,1.4,2.0,21,93,30,0.07,0.07,0.14,0.07,0.14,0.04,0.10,0.14,0.04,0.14,Partidos
612,Leon Dajaku,de GER,DL,Union Berlin,de Bundesliga,19,2001,2,0,37,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
613,Stuart Dallas,nir NIR,"CC,DF",Leeds United,eng Premier League,29,1991,38,38,3409,37.9,8,2,10,8,0,0,7,0,4.2,4.2,1.8,6.1,95,233,126,0.21,0.05,0.26,0.21,0.26,0.11,0.05,0.16,0.11,0.16,Partidos
614,Diogo Dalot,pt POR,DF,Milan,it Serie A,21,1999,21,10,1090,12.1,1,1,2,1,0,0,5,0,0.4,0.4,0.9,1.3,28,39,47,0.08,0.08,0.17,0.08,0.17,0.03,0.08,0.11,0.03,0.11,Partidos
615,Mikkel Damsgaard,dk DEN,"CC,DL",Sampdoria,it Serie A,20,2000,35,18,1773,19.7,2,4,6,2,0,0,3,0,2.9,2.9,2.4,5.3,45,80,131,0.10,0.20,0.30,0.10,0.30,0.15,0.12,0.27,0.15,0.27,Partidos
616,Flavius Daniliuc,at AUT,DF,Nice,fr Ligue 1,19,2001,23,15,1477,16.4,1,0,1,1,0,0,0,0,0.6,0.6,0.4,1.0,25,102,7,0.06,0.00,0.06,0.06,0.06,0.04,0.02,0.06,0.04,0.06,Partidos
617,Danilo,br BRA,"DF,CC",Juventus,it Serie A,29,1991,34,32,2916,32.4,1,4,5,1,0,0,6,0,1.9,1.9,3.2,5.1,59,240,55,0.03,0.12,0.15,0.03,0.15,0.06,0.10,0.16,0.06,0.16,Partidos
618,Scott Dann,eng ENG,DF,Crystal Palace,eng Premier League,33,1987,15,15,1350,15.0,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,2,34,0,0.07,0.00,0.07,0.07,0.07,0.02,0.00,0.02,0.02,0.02,Partidos
619,Tiago Dantas,pt POR,CC,Bayern Munich,de Bundesliga,19,2000,2,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,1,3,3,0.00,0.00,0.00,0.00,0.00,0.00,0.15,0.15,0.00,0.15,Partidos
620,Dante,br BRA,DF,Nice,fr Ligue 1,36,1983,9,9,774,8.6,2,1,3,2,0,0,2,0,0.9,0.9,0.2,1.0,3,27,0,0.23,0.12,0.35,0.23,0.35,0.10,0.02,0.12,0.10,0.12,Partidos
621,Andrea Danzi,it ITA,DF,Hellas Verona,it Serie A,21,1999,2,1,104,1.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
622,Ebrima Darboe,gm GAM,CC,Roma,it Serie A,19,2001,5,4,323,3.6,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,23,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.04,0.03,0.04,Partidos
623,Márton Dárdai,de GER,"DF,CC",Hertha BSC,de Bundesliga,18,2002,12,9,821,9.1,0,1,1,0,0,0,0,0,0.1,0.1,0.3,0.4,10,41,1,0.00,0.11,0.11,0.00,0.11,0.01,0.03,0.04,0.01,0.04,Partidos
624,Vladimír Darida,cz CZE,CC,Hertha BSC,de Bundesliga,29,1990,27,24,1903,21.1,1,6,7,1,0,0,5,1,1.7,1.7,5.2,6.9,35,101,105,0.05,0.28,0.33,0.05,0.33,0.08,0.25,0.33,0.08,0.33,Partidos
625,Karl Darlow,eng ENG,PO,Newcastle Utd,eng Premier League,29,1990,25,25,2250,25.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
626,Matteo Darmian,it ITA,DF,Parma,it Serie A,30,1989,3,2,208,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,1,6,7,0.00,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.00,0.01,Partidos
627,Matteo Darmian,it ITA,DF,Inter,it Serie A,30,1989,26,14,1160,12.9,3,3,6,3,0,0,4,0,1.5,1.5,0.9,2.4,19,25,79,0.23,0.23,0.47,0.23,0.47,0.12,0.07,0.19,0.12,0.19,Partidos
628,Jonathan David,ca CAN,DL,Lille,fr Ligue 1,20,2000,37,29,2354,26.2,13,2,15,13,0,0,0,0,9.1,9.1,2.6,11.7,46,47,173,0.50,0.08,0.57,0.50,0.57,0.35,0.10,0.45,0.35,0.45,Partidos
629,Alphonso Davies,ca CAN,DF,Bayern Munich,de Bundesliga,19,2000,23,22,1763,19.6,1,2,3,1,0,0,2,1,0.2,0.2,1.9,2.1,80,123,131,0.05,0.10,0.15,0.05,0.15,0.01,0.10,0.11,0.01,0.11,Partidos
630,Ben Davies,wls WAL,DF,Tottenham,eng Premier League,27,1993,20,14,1346,15.0,0,1,1,0,0,0,1,0,0.2,0.2,0.6,0.8,28,51,55,0.00,0.07,0.07,0.00,0.07,0.01,0.04,0.05,0.01,0.05,Partidos
631,Tom Davies,eng ENG,CC,Everton,eng Premier League,22,1998,25,17,1423,15.8,0,1,1,0,0,0,3,0,0.2,0.2,0.9,1.1,11,49,17,0.00,0.06,0.06,0.00,0.06,0.01,0.06,0.07,0.01,0.07,Partidos
632,Keinan Davis,eng ENG,"DL,CC",Aston Villa,eng Premier League,22,1998,15,1,277,3.1,1,1,2,1,0,0,0,0,1.5,1.5,0.6,2.1,7,6,37,0.32,0.32,0.65,0.32,0.65,0.47,0.19,0.67,0.47,0.67,Partidos
633,Leif Davis,eng ENG,DF,Leeds United,eng Premier League,20,2000,2,0,33,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
634,Paweł Dawidowicz,pl POL,DF,Hellas Verona,it Serie A,25,1995,30,22,1860,20.7,0,0,0,0,0,0,9,0,1.9,1.9,1.0,2.9,12,48,23,0.00,0.00,0.00,0.00,0.00,0.09,0.05,0.14,0.09,0.14,Partidos
635,Craig Dawson,eng ENG,DF,West Ham,eng Premier League,30,1990,22,22,1925,21.4,3,0,3,3,0,0,5,1,1.9,1.9,0.1,1.9,2,39,1,0.14,0.00,0.14,0.14,0.14,0.09,0.00,0.09,0.09,0.09,Partidos
636,Kevin De Bruyne,be BEL,CC,Manchester City,eng Premier League,29,1991,25,23,1997,22.2,6,12,18,4,2,3,1,0,9.3,6.9,8.0,14.9,102,213,186,0.27,0.54,0.81,0.18,0.72,0.42,0.36,0.78,0.31,0.67,Partidos
637,Sebastien De Maio,fr FRA,DF,Udinese,it Serie A,33,1987,15,9,853,9.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,3,17,2,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.04,0.04,0.04,Partidos
638,Rodrigo De Paul,ar ARG,CC,Udinese,it Serie A,26,1994,36,36,3201,35.6,9,9,18,6,3,3,5,2,6.2,3.8,11.2,15.1,167,308,135,0.25,0.25,0.51,0.17,0.42,0.17,0.32,0.49,0.11,0.42,Partidos
639,Mattia De Sciglio,it ITA,DF,Juventus,it Serie A,27,1992,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.12,0.00,0.12,0.12,0.12,Partidos
640,Mattia De Sciglio,it ITA,DF,Lyon,fr Ligue 1,27,1992,29,14,1467,16.3,0,1,1,0,0,0,4,1,0.1,0.1,1.0,1.1,25,79,82,0.00,0.06,0.06,0.00,0.06,0.01,0.06,0.07,0.01,0.07,Partidos
641,Lorenzo De Silvestri,it ITA,DF,Bologna,it Serie A,32,1988,29,25,2143,23.8,2,0,2,2,0,0,4,0,2.1,2.1,0.7,2.8,28,104,52,0.08,0.00,0.08,0.08,0.08,0.09,0.03,0.12,0.09,0.12,Partidos
642,Thibault De Smet,be BEL,DF,Reims,fr Ligue 1,22,1998,8,6,496,5.5,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,23,29,30,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03,Partidos
643,Lucas Deaux,fr FRA,"CC,DF",Nîmes,fr Ligue 1,31,1988,25,19,1754,19.5,1,2,3,1,0,0,4,1,1.2,1.2,1.5,2.7,23,76,47,0.05,0.10,0.15,0.05,0.15,0.06,0.08,0.14,0.06,0.14,Partidos
644,Mathieu Debuchy,fr FRA,DF,Saint-Étienne,fr Ligue 1,35,1985,26,25,2103,23.4,2,1,3,2,0,0,5,0,2.7,2.7,1.5,4.2,33,80,91,0.09,0.04,0.13,0.09,0.13,0.12,0.07,0.18,0.12,0.18,Partidos
645,Grégoire Defrel,mq MTQ,"CC,DL",Sassuolo,it Serie A,29,1991,28,14,1336,14.8,3,3,6,3,0,0,1,0,2.1,2.1,1.0,3.2,23,51,82,0.20,0.20,0.40,0.20,0.40,0.14,0.07,0.21,0.14,0.21,Partidos
646,Alessandro Deiola,it ITA,CC,Spezia,it Serie A,24,1995,12,4,360,4.0,0,0,0,0,0,0,1,0,0.2,0.2,0.3,0.6,3,12,16,0.00,0.00,0.00,0.00,0.00,0.06,0.08,0.14,0.06,0.14,Partidos
647,Alessandro Deiola,it ITA,CC,Cagliari,it Serie A,24,1995,12,7,615,6.8,0,0,0,0,0,0,2,0,0.2,0.2,0.8,1.0,5,14,9,0.00,0.00,0.00,0.00,0.00,0.03,0.12,0.15,0.03,0.15,Partidos
648,Romain Del Castillo,fr FRA,"CC,DL",Rennes,fr Ligue 1,24,1996,26,5,652,7.2,0,5,5,0,0,0,2,0,1.1,1.1,2.7,3.8,24,41,104,0.00,0.69,0.69,0.00,0.69,0.15,0.38,0.53,0.15,0.53,Partidos
649,Lorenzo Del Pinto,it ITA,CC,Benevento,it Serie A,30,1990,1,0,11,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Partidos
650,Thomas Delaine,fr FRA,"DF,DL",Metz,fr Ligue 1,28,1992,24,19,1779,19.8,3,2,5,3,0,0,4,0,1.7,1.7,1.1,2.8,98,43,113,0.15,0.10,0.25,0.15,0.25,0.09,0.06,0.14,0.09,0.14,Partidos
RL,Jugador,País,Posc,Equipo,Comp,Edad,Nacimiento,PJ,Titular,Mín,90 s,Gls.,Ass,G+A,G-TP,TP,TPint,TA,TR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls.,Ast,G+A,G-TP,G+A-TP,xG,xAG,xG+xAG,npxG,npxG+xAG,Partidos
